181-0991-1_LHL_S1_L001	181-0991-3_LHL_S2_L001	SKM_0923-1_RHL_S5_L001	SKM_0923-3_RHL_S6_L001	WT62_0987-3_RHL_S9_L001	WT62_0987-4_RHL_S10_L001	212-4281_E62SKM_RHL_Emb1_S1	212-4281_E62SKM_RHL_Emb4_S2	6132-1_Right_Gastroc_S15	6132-2_Left_Sol_S16	6132-3_Left_Sol_S17	6132-3_Right_Gastroc_S18
ENSSSCG00000002986	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000002987	0	1	2	2	0	0	0	0	0	0	0	0
ENSSSCG00000002988	67	89	269	288	262	219	546	460	583	528	526	553
ENSSSCG00000002989	1701	2012	3801	3464	4496	4441	5262	4378	6914	7603	7009	7071
ENSSSCG00000002990	1	1	1	0	0	0	2	1	2	1	3	1
ENSSSCG00000002991	5	10	3	0	22	7	0	6	0	3	2	2
ENSSSCG00000002993	130	177	381	317	141	128	378	303	90	160	152	110
ENSSSCG00000002994	2	0	4	19	3	6	17	9	62	42	56	36
ENSSSCG00000002995	865	887	2497	2290	1996	1803	2986	3247	1899	2386	2114	2256
ENSSSCG00000002996	170	237	584	588	456	474	830	881	753	783	743	770
ENSSSCG00000002997	106	82	193	878	25	26	44	31	43	63	55	43
ENSSSCG00000002998	1034	1177	1944	1765	1369	942	1643	1286	829	1069	961	893
ENSSSCG00000003000	202	309	934	818	609	543	833	705	540	658	576	628
ENSSSCG00000003006	1	0	4	3	5	5	9	3	8	5	8	9
ENSSSCG00000003013	151	204	449	406	294	301	564	483	290	344	264	301
ENSSSCG00000003015	252	335	586	462	481	467	512	370	407	505	371	447
ENSSSCG00000003016	923	1013	2536	2153	2090	1919	2385	2219	1801	2353	2143	1950
ENSSSCG00000003017	680	611	2415	1842	845	793	2439	2946	1354	1494	1519	1496
ENSSSCG00000003018	126	174	654	669	405	436	699	863	616	555	608	597
ENSSSCG00000003022	34	18	230	256	31	20	132	173	90	56	65	85
ENSSSCG00000003024	59	69	183	184	98	92	437	551	364	308	352	301
ENSSSCG00000003030	2338	2409	11566	11206	4955	5338	10859	12286	5983	6286	7302	6422
ENSSSCG00000003035	1078	1364	2429	2452	2147	1864	2689	2366	2024	2353	2225	2238
ENSSSCG00000003037	346	414	1398	1244	1053	720	1054	1058	772	960	847	857
ENSSSCG00000003038	185	166	564	712	162	194	306	201	162	279	246	171
ENSSSCG00000003040	786	820	2352	2412	1137	1295	3240	3354	2231	2062	2108	2139
ENSSSCG00000003042	40704	51288	64816	61286	50954	45732	94294	70836	43103	53212	36616	52782
ENSSSCG00000003043	1	0	1	3	1	0	4	2	4	2	3	0
ENSSSCG00000003044	5	17	18	16	7	1	37	15	11	16	9	7
ENSSSCG00000003045	2	1	1	3	1	2	3	4	0	10	11	1
ENSSSCG00000003046	1920	2265	5889	5611	3081	2992	6039	5780	2575	3749	2754	2969
ENSSSCG00000003047	1	7	7	7	0	1	4	2	5	14	10	2
ENSSSCG00000003048	0	0	1	2	1	0	2	0	3	1	3	1
ENSSSCG00000003049	3	2	6	8	7	8	10	22	6	14	9	8
ENSSSCG00000003051	1	1	2	0	7	9	1	5	0	7	2	1
ENSSSCG00000003052	4	0	4	10	2	5	22	19	59	40	54	47
ENSSSCG00000003053	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000003054	73	121	254	268	183	143	241	287	212	235	274	207
ENSSSCG00000003055	668	719	1218	1161	1021	897	1558	1503	1411	1499	1352	1472
ENSSSCG00000003059	491	580	1792	1622	1036	936	1730	1635	700	975	737	827
ENSSSCG00000003061	558	636	2013	1845	605	569	1531	1304	354	435	504	385
ENSSSCG00000003062	5	8	20	16	2	4	356	13	3	5	1	1
ENSSSCG00000003063	104	136	592	424	37	103	908	796	105	95	63	84
ENSSSCG00000003064	392	548	874	703	479	449	1098	988	369	450	449	412
ENSSSCG00000003068	276	398	737	728	585	537	917	828	765	866	934	782
ENSSSCG00000003069	2	1	39	43	0	2	8	24	3	3	4	1
ENSSSCG00000003070	468	479	934	976	770	708	1743	1692	1549	1522	1620	1448
ENSSSCG00000003071	19	43	156	172	71	82	297	244	233	244	212	177
ENSSSCG00000003072	379	518	1380	1281	919	907	1958	1555	1564	1585	1370	1411
ENSSSCG00000003073	0	0	0	1	2	3	1	0	1	0	0	0
ENSSSCG00000003076	12	36	42	55	59	70	132	113	169	164	145	147
ENSSSCG00000003077	179	170	408	427	404	319	690	507	553	542	586	537
ENSSSCG00000003078	7	7	33	24	0	0	5	0	3	0	1	0
ENSSSCG00000003079	197	198	419	385	258	309	606	718	548	517	729	565
ENSSSCG00000003080	9	6	21	21	8	17	19	31	53	34	52	40
ENSSSCG00000003081	10	22	32	32	40	50	32	46	618	381	456	475
ENSSSCG00000003083	43	46	153	77	1	0	24	0	7	6	5	10
ENSSSCG00000003085	1353	1434	2771	2599	2836	2476	2888	2589	2660	3140	2939	2829
ENSSSCG00000003086	0	0	0	1	0	2	7	1	2	11	0	0
ENSSSCG00000003088	2744	2056	12481	10768	3031	6405	19232	25391	3026	3382	2560	2299
ENSSSCG00000003089	913	857	1827	1782	2012	1760	2083	1846	1565	1865	1514	1680
ENSSSCG00000003090	901	1204	2798	2449	1485	1472	2833	3162	1962	2093	2220	1991
ENSSSCG00000003092	6	0	1	126	1	1	10	4	42	25	27	25
ENSSSCG00000003093	1608	1984	3776	3538	3068	2944	3375	2923	3071	3405	3400	3064
ENSSSCG00000003096	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000003098	760	929	1752	1734	1402	1292	2246	2026	1461	1589	1499	1550
ENSSSCG00000003100	190	230	528	562	462	477	904	875	908	796	922	849
ENSSSCG00000003101	355	451	1997	1879	935	1273	1543	1684	1785	1581	1719	1473
ENSSSCG00000003102	17	33	99	108	31	57	90	101	30	43	26	33
ENSSSCG00000003103	780	689	1750	1817	1066	1040	1371	1477	1054	1242	1310	1133
ENSSSCG00000003104	1756	2179	5781	5081	4171	4083	6380	6330	5776	5627	5675	5844
ENSSSCG00000003105	2084	2093	6039	5190	2223	2320	4856	4818	2428	2669	2759	2646
ENSSSCG00000003106	1191	1290	2821	2450	1795	1404	3514	3020	1330	1737	1499	1485
ENSSSCG00000003107	5334	5646	9070	8594	8291	8214	9035	7893	8600	9180	10682	8095
ENSSSCG00000003108	6	7	29	15	94	90	8	9	9	10	10	3
ENSSSCG00000003109	108	98	266	237	174	112	162	79	47	101	61	54
ENSSSCG00000003110	986	947	2411	2341	1399	1374	2773	2481	1858	2061	2055	1878
ENSSSCG00000003111	4425	4984	5841	5778	4752	4396	7419	6368	4183	4917	4744	4450
ENSSSCG00000003112	35	52	152	137	166	184	162	168	173	230	155	176
ENSSSCG00000003113	9	5	41	36	8	8	159	178	115	90	90	86
ENSSSCG00000003114	316	293	1177	1083	675	827	2132	2268	1552	1584	1628	1380
ENSSSCG00000003115	538	514	1930	1422	328	349	2053	1948	418	536	535	455
ENSSSCG00000003119	6	2	14	23	7	5	23	12	20	26	22	28
ENSSSCG00000003120	1693	1937	2719	2560	4903	3922	3122	2875	3681	4930	3881	4181
ENSSSCG00000003121	450	528	1041	930	826	695	1193	1209	952	1144	1067	965
ENSSSCG00000003123	0	0	0	1	2	0	0	0	0	0	1	0
ENSSSCG00000003124	0	0	1	0	0	0	2	1	0	0	0	0
ENSSSCG00000003125	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000003126	1	0	2	0	0	0	2	0	1	0	0	0
ENSSSCG00000003128	1289	1502	2594	2610	1110	990	2457	2281	1227	1309	1355	1204
ENSSSCG00000003129	57	29	144	163	87	86	99	95	72	92	79	69
ENSSSCG00000003131	1	0	6	6	8	3	3	5	3	6	1	4
ENSSSCG00000003132	4394	4974	9464	9290	5553	5304	9874	8300	4490	6064	5161	5159
ENSSSCG00000003133	211	139	288	288	291	252	153	125	117	172	158	105
ENSSSCG00000003134	782	910	1405	1322	1279	1024	1258	1160	813	1185	935	968
ENSSSCG00000003135	17	27	31	33	31	33	65	55	93	91	128	102
ENSSSCG00000003136	958	1144	2666	2569	1983	1938	4480	4190	2419	2729	2635	2323
ENSSSCG00000003137	470	586	710	510	1921	1990	900	864	1653	1931	1459	1935
ENSSSCG00000003139	1015	1228	2861	2684	1726	1802	4066	3574	2848	3116	2740	3169
ENSSSCG00000003140	14	19	91	78	29	44	77	40	89	85	95	96
ENSSSCG00000003142	1	1	5	5	7	11	33	36	85	73	98	112
ENSSSCG00000003143	386	448	206	209	2736	2228	318	320	4535	4834	4293	4525
ENSSSCG00000003144	602	681	1571	1488	792	660	1844	1588	725	975	770	756
ENSSSCG00000003145	33	114	318	212	110	77	271	271	761	511	637	576
ENSSSCG00000003146	73	77	57	35	56	486	257	79	157	167	175	173
ENSSSCG00000003147	273	273	964	1120	403	288	514	779	405	726	554	403
ENSSSCG00000003148	60	48	190	166	207	170	102	94	395	538	420	464
ENSSSCG00000003149	6	8	18	13	9	3	55	28	28	16	39	28
ENSSSCG00000003150	3732	3463	7559	8648	3974	3785	9066	8181	4593	5385	5699	4501
ENSSSCG00000003152	1288	1571	2256	2196	2035	1826	2460	2135	1944	2326	2142	2020
ENSSSCG00000003153	17550	20192	40274	45434	20320	18903	89598	65474	17329	21841	16182	19030
ENSSSCG00000003154	3056	3175	1923	1776	6324	6482	2240	1897	10218	11155	11073	10253
ENSSSCG00000003155	623	892	1278	1582	1612	1852	2551	2527	1166	1518	1404	1340
ENSSSCG00000003156	2045	1962	1048	907	4411	4404	599	911	10869	11197	11302	10507
ENSSSCG00000003157	107	110	210	211	181	203	235	264	152	257	158	170
ENSSSCG00000003159	15	17	14	17	103	110	16	11	322	324	273	282
ENSSSCG00000003160	50	91	396	311	17	33	105	23	100	74	50	109
ENSSSCG00000003161	30	74	228	202	81	98	251	215	188	144	159	218
ENSSSCG00000003165	48584	69356	75664	69801	61660	49883	131708	99739	56724	70129	53218	64632
ENSSSCG00000003168	711	804	1989	1898	1137	1107	2043	2144	1532	1562	1550	1529
ENSSSCG00000003169	617	622	1153	1107	705	663	1341	1162	687	761	698	719
ENSSSCG00000003170	20	36	100	103	8	9	60	78	14	12	22	21
ENSSSCG00000003171	5	6	9	14	10	8	53	48	89	56	78	87
ENSSSCG00000003172	0	0	4	1	5	5	7	10	8	15	18	15
ENSSSCG00000003177	117	103	252	236	228	189	385	345	269	290	264	287
ENSSSCG00000003178	411	467	1029	1001	687	828	1905	2116	1348	1275	1319	1313
ENSSSCG00000003183	295	343	796	753	1020	1432	1519	1866	1894	2057	1701	2104
ENSSSCG00000003187	4765	4369	15591	15618	6908	7515	17790	18290	8022	9420	8127	8597
ENSSSCG00000003189	4765	5711	7948	7457	9718	8692	9756	8299	10177	11526	9090	10464
ENSSSCG00000003191	12	3	15	10	9	12	26	23	46	34	71	51
ENSSSCG00000003192	15	18	46	68	56	70	36	63	83	96	87	67
ENSSSCG00000003193	518	580	1407	1230	1179	1238	1385	1368	1530	1763	1433	1567
ENSSSCG00000003194	616	741	1405	1155	1461	1509	1315	1134	1837	2126	1647	1957
ENSSSCG00000003195	298	420	1123	1168	1120	1647	3347	3821	4744	4360	4312	4623
ENSSSCG00000003196	1656	1940	5168	4837	3332	2857	4486	4304	2655	3969	3219	3447
ENSSSCG00000003197	809	994	2091	1971	2125	1726	1666	1734	1440	2058	1807	1650
ENSSSCG00000003198	101	135	216	283	174	199	259	210	143	210	181	157
ENSSSCG00000003199	2533	2964	7310	6290	4460	4096	6082	5219	3760	4559	4037	3870
ENSSSCG00000003201	212	329	901	887	337	339	735	492	338	496	407	383
ENSSSCG00000003204	170	185	495	425	377	459	897	944	690	652	760	739
ENSSSCG00000003207	1	5	2	5	1	0	2	10	7	11	10	6
ENSSSCG00000003211	268	369	923	870	835	752	1389	1485	1052	1276	1074	1113
ENSSSCG00000003212	23	20	68	56	14	24	72	94	56	35	33	42
ENSSSCG00000003214	2	5	4	8	3	1	10	6	4	1	5	3
ENSSSCG00000003216	798	924	1926	1718	981	874	1568	1457	824	1053	841	869
ENSSSCG00000003217	245	280	527	513	782	664	712	709	1239	1256	1289	1157
ENSSSCG00000003218	12	11	13	18	93	100	38	50	5196	4375	2587	6461
ENSSSCG00000003219	22	50	62	53	78	76	112	106	74	102	51	81
ENSSSCG00000003222	2	7	38	55	26	20	45	24	74	42	68	41
ENSSSCG00000003225	0	0	0	0	0	0	0	0	0	0	1	0
ENSSSCG00000003227	127	111	499	498	25	51	123	124	41	10	11	28
ENSSSCG00000003228	8	3	36	17	3	7	40	45	8	7	15	24
ENSSSCG00000003229	954	1052	1425	1421	1556	1269	2089	1937	1853	2056	1600	1933
ENSSSCG00000003230	2	8	12	4	7	11	6	15	46	33	31	35
ENSSSCG00000003231	72	39	257	213	92	118	1541	836	93	170	116	129
ENSSSCG00000003232	1	1	37	75	5	3	5	9	0	1	0	1
ENSSSCG00000003233	71	133	276	328	181	237	563	485	426	369	376	357
ENSSSCG00000003234	10	7	20	23	16	20	66	63	43	32	30	35
ENSSSCG00000003236	23	14	51	35	35	19	167	169	96	81	104	68
ENSSSCG00000003238	1	23	46	42	5	10	51	70	68	49	84	38
ENSSSCG00000003239	5	7	9	8	10	25	35	22	28	21	26	24
ENSSSCG00000003240	60	120	152	190	134	127	398	314	203	259	205	214
ENSSSCG00000003241	42	63	97	124	61	85	340	221	204	172	174	169
ENSSSCG00000003247	10	3	14	9	5	12	23	32	70	33	71	42
ENSSSCG00000003248	0	13	1	6	2	4	14	19	19	8	22	13
ENSSSCG00000003251	4	0	11	16	16	18	42	62	44	36	30	37
ENSSSCG00000003253	5841	6103	2896	3053	10156	10843	5185	4783	8493	13916	12644	10303
ENSSSCG00000003255	7	2	1	0	17	20	4	8	16	25	19	9
ENSSSCG00000003256	0	1	2	1	8	2	32	25	27	21	27	16
ENSSSCG00000003257	64	104	4	4	373	268	0	1	489	566	468	609
ENSSSCG00000003259	5	6	48	37	22	20	147	124	116	78	101	110
ENSSSCG00000003261	934	991	1244	1232	1085	943	1955	1543	1165	1481	1185	1301
ENSSSCG00000003262	288	364	680	597	564	495	784	721	494	712	512	551
ENSSSCG00000003263	947	980	2091	1860	1636	1463	2332	2069	1816	2174	1725	1684
ENSSSCG00000003264	879	972	2289	2168	1554	1473	2662	2752	1791	1971	2000	1851
ENSSSCG00000003265	135	168	377	420	332	287	590	583	332	358	332	322
ENSSSCG00000003266	15	31	79	58	0	6	15	13	5	4	7	15
ENSSSCG00000003267	779	827	2782	2488	1197	1091	1993	1883	778	1009	914	829
ENSSSCG00000003268	619	769	2090	1789	976	925	2137	1866	668	890	795	778
ENSSSCG00000003269	63	78	360	333	135	212	296	346	117	188	115	120
ENSSSCG00000003271	40	38	262	164	50	58	123	140	75	116	111	102
ENSSSCG00000003272	0	2	0	3	3	5	9	9	17	8	4	11
ENSSSCG00000003275	0	0	0	0	3	1	2	16	4	2	8	5
ENSSSCG00000003277	0	0	2	0	0	0	1	0	0	1	0	0
ENSSSCG00000003278	1	26	21	22	22	14	79	109	111	84	140	100
ENSSSCG00000003282	18	28	100	93	72	94	225	279	258	216	236	213
ENSSSCG00000003284	0	0	0	0	0	0	0	0	2	0	0	0
ENSSSCG00000003286	4	0	8	6	0	3	0	0	0	1	1	2
ENSSSCG00000003288	439	555	1077	1044	1035	749	1029	863	551	692	654	639
ENSSSCG00000003289	501	608	1107	1031	1010	957	1803	1832	1323	1334	1268	1371
ENSSSCG00000003301	1045	1265	2788	2589	2660	2547	2576	2725	2749	3101	2907	2700
ENSSSCG00000003302	3	2	6	9	13	8	7	15	19	18	12	19
ENSSSCG00000003303	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000003306	2	0	16	13	0	3	12	3	0	2	1	1
ENSSSCG00000003307	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000003311	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000003314	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000003315	0	0	21	27	0	0	14	6	1	0	0	3
ENSSSCG00000003317	212	287	775	631	519	525	653	553	332	406	348	372
ENSSSCG00000003322	64	107	168	235	167	197	564	541	424	430	462	459
ENSSSCG00000003324	12	18	68	85	51	57	173	149	120	133	123	145
ENSSSCG00000003326	487	492	1862	1485	1603	1972	1332	1122	1751	2052	1576	1511
ENSSSCG00000003329	786	924	1218	1222	2345	2011	1973	2179	2225	2725	2320	2491
ENSSSCG00000003331	0	0	17	28	0	0	0	1	1	0	0	0
ENSSSCG00000003332	2013	1946	5043	5249	2953	2958	5551	5162	2965	3534	2915	2924
ENSSSCG00000003333	7	6	56	54	18	15	18	27	17	18	14	21
ENSSSCG00000003334	515	554	918	949	1047	935	1227	963	918	1092	931	919
ENSSSCG00000003336	0	0	0	0	0	0	0	2	0	1	0	0
ENSSSCG00000003338	28	37	76	70	77	83	98	135	111	117	125	108
ENSSSCG00000003339	614	786	1441	1321	894	805	1618	1401	883	1139	1014	1000
ENSSSCG00000003341	59	104	365	279	175	178	349	384	244	303	224	262
ENSSSCG00000003342	321	404	1428	1345	2555	2662	2109	2464	2309	3010	2254	2533
ENSSSCG00000003343	335	299	761	695	661	620	854	827	723	744	699	655
ENSSSCG00000003344	293	307	1439	1280	1520	1159	834	1091	1137	1375	1027	1399
ENSSSCG00000003346	0	0	0	2	3	0	0	1	46	24	13	54
ENSSSCG00000003348	766	909	1520	1471	1718	1593	1784	1595	1701	2090	1543	1918
ENSSSCG00000003350	539	621	1937	1680	2444	2179	1804	2186	2945	3267	2771	2874
ENSSSCG00000003351	148	122	389	307	767	1164	1604	2545	1201	1384	1011	1262
ENSSSCG00000003352	1032	1105	1747	1802	1659	1615	2356	2304	2301	2596	2492	2298
ENSSSCG00000003353	1276	1333	4374	3820	2277	2355	5544	5805	2762	2768	3039	2601
ENSSSCG00000003354	575	601	1392	1537	1651	1772	4616	5191	8515	7089	7364	7743
ENSSSCG00000003356	1	0	5	3	17	11	6	2	18	43	28	37
ENSSSCG00000003357	0	0	0	0	2	4	0	0	2	6	3	3
ENSSSCG00000003359	815	813	1497	1351	1389	1262	1767	1443	1152	1477	1028	1362
ENSSSCG00000003360	226	297	516	516	607	686	1152	1316	1448	1461	1508	1400
ENSSSCG00000003362	150	230	603	602	431	472	1252	1120	1065	968	1017	955
ENSSSCG00000003366	201	103	1305	1154	10	24	1309	1559	122	95	127	91
ENSSSCG00000003368	14	8	63	61	247	213	244	311	1952	1142	1804	1592
ENSSSCG00000003369	2173	2195	5366	5437	2922	2794	5208	4530	3149	3489	3261	3296
ENSSSCG00000003370	1	3	15	31	1	0	27	39	0	1	0	0
ENSSSCG00000003371	417	627	2412	1454	495	464	953	979	175	428	283	193
ENSSSCG00000003374	9	28	189	176	67	89	109	105	52	119	42	68
ENSSSCG00000003376	287	355	1848	1965	594	768	2426	2545	1260	1241	1254	1194
ENSSSCG00000003377	435	521	1299	1177	372	268	1154	802	182	227	229	164
ENSSSCG00000003379	522	486	880	744	1063	1216	726	672	1219	1313	1194	1309
ENSSSCG00000003382	48	32	192	201	173	150	162	138	97	162	166	85
ENSSSCG00000003383	111	176	537	490	313	338	635	701	476	497	499	516
ENSSSCG00000003384	786	962	1369	1292	1602	1264	1818	1560	1820	1714	1832	1689
ENSSSCG00000003385	5774	6405	7047	6827	6657	5515	9329	7742	5400	6731	5760	5769
ENSSSCG00000003386	0	0	5	5	2	4	12	20	11	11	8	12
ENSSSCG00000003388	2	1	27	35	0	0	2	3	0	3	0	0
ENSSSCG00000003390	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000003391	0	0	2	0	0	0	0	0	0	0	1	2
ENSSSCG00000003393	192	235	786	713	560	478	422	449	616	759	584	612
ENSSSCG00000003395	48	44	191	191	64	80	608	731	146	139	137	158
ENSSSCG00000003396	5335	5635	15416	15821	8447	8127	11862	10326	9059	10895	11294	9712
ENSSSCG00000003398	1945	2338	4352	4105	2616	2812	4988	4003	3641	3352	3745	3079
ENSSSCG00000003399	71	92	91	100	132	230	310	449	142	120	106	212
ENSSSCG00000003400	180	251	401	367	340	357	658	501	494	445	470	452
ENSSSCG00000003401	6821	6645	4945	4951	17642	22536	6558	5844	33759	27650	30128	27238
ENSSSCG00000003402	1765	1754	3036	2820	1734	1550	3932	3403	1655	1780	1899	1602
ENSSSCG00000003403	334	472	563	492	294	314	934	815	331	362	264	325
ENSSSCG00000003404	676	719	1363	1349	1055	1121	2358	1991	1390	1500	1391	1350
ENSSSCG00000003405	276	368	901	857	673	684	922	729	603	671	672	619
ENSSSCG00000003407	271	296	381	312	1060	1456	565	173	1722	2163	2230	1584
ENSSSCG00000003410	0	1	0	1	0	1	3	14	20	6	25	14
ENSSSCG00000003412	1131	1259	1960	1902	1589	1536	2293	2064	1963	2054	2183	1770
ENSSSCG00000003413	1525	1588	2809	2587	2264	2364	3650	3008	3712	3620	4289	3262
ENSSSCG00000003414	9	5	14	29	12	3	13	16	128	106	120	101
ENSSSCG00000003417	3	4	15	37	1	1	29	7	0	1	3	1
ENSSSCG00000003419	664	827	1220	1028	698	635	1632	1284	391	614	499	483
ENSSSCG00000003421	217	339	767	601	349	308	1100	1098	445	561	538	475
ENSSSCG00000003423	59	89	203	133	184	72	437	126	89	151	138	141
ENSSSCG00000003428	1198	1271	3700	3330	2947	2873	5781	5698	3566	3947	3845	3674
ENSSSCG00000003429	438	402	1062	1149	750	766	1789	1622	1317	1182	1414	1178
ENSSSCG00000003431	1	6	0	0	1	4	13	2	0	2	0	1
ENSSSCG00000003432	1011	1254	3615	3262	2204	1953	2585	2565	1530	2061	1615	1872
ENSSSCG00000003433	7737	8090	18600	21491	8153	7001	14104	13348	9286	11253	12342	9940
ENSSSCG00000003434	1128	1246	3085	2869	3230	3230	3363	2996	5535	5157	5442	5098
ENSSSCG00000003435	272	313	802	807	516	580	1370	1276	963	996	830	1014
ENSSSCG00000003438	1005	1220	2466	2269	1214	1642	3753	2996	4121	2830	3893	2856
ENSSSCG00000003439	529	574	1445	1858	930	658	1905	2719	1948	1553	1570	2044
ENSSSCG00000003440	0	1	0	0	1	0	4	1	7	15	7	3
ENSSSCG00000003441	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000003442	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000003444	0	0	0	0	0	0	1	1	0	1	0	0
ENSSSCG00000003448	0	0	0	0	0	0	0	0	1	0	0	2
ENSSSCG00000003449	42	19	12	26	490	304	5	1	740	868	768	669
ENSSSCG00000003451	1268	1206	2369	2843	3639	2698	3804	4013	2883	3104	3220	3184
ENSSSCG00000003455	98	96	126	99	203	168	123	77	199	192	229	173
ENSSSCG00000003458	1804	1822	3383	2960	3944	3465	3257	3002	3158	3531	2843	3555
ENSSSCG00000003459	9	34	7	6	14	9	15	16	86	60	81	70
ENSSSCG00000003460	305	359	830	822	538	561	1430	1292	636	684	653	671
ENSSSCG00000003461	871	1198	2334	1985	2194	2338	3319	3058	5805	4780	5582	5009
ENSSSCG00000003463	0	0	0	0	1	1	4	3	11	21	17	5
ENSSSCG00000003464	256	194	503	581	437	444	964	822	1033	867	1033	862
ENSSSCG00000003465	1051	1254	4603	3953	1746	2249	3917	3915	2995	3598	3897	3683
ENSSSCG00000003466	0	3	7	12	8	7	12	9	30	42	46	30
ENSSSCG00000003468	1998	2350	4585	4362	6275	5772	4893	4305	6010	7593	6915	6327
ENSSSCG00000003470	294	441	576	360	1054	666	230	27	460	909	742	598
ENSSSCG00000003471	320	443	1045	1011	606	516	1604	1930	1179	1572	1660	1176
ENSSSCG00000003472	198	350	1559	1320	216	158	1660	716	459	545	601	421
ENSSSCG00000003473	64	72	327	316	87	61	432	411	105	124	112	115
ENSSSCG00000003476	0	0	4	1	2	1	4	7	6	3	10	5
ENSSSCG00000003477	1022	1062	2718	2663	1345	1445	5328	4880	2319	2288	2161	2340
ENSSSCG00000003478	195	183	784	831	671	646	718	950	843	1136	999	891
ENSSSCG00000003479	2849	2367	14274	16127	977	550	6146	5427	1311	1474	1679	1283
ENSSSCG00000003481	3	0	0	6	0	0	2	2	2	2	1	1
ENSSSCG00000003482	0	4	0	0	0	0	4	2	0	0	0	0
ENSSSCG00000003483	5	4	2	3	2	3	0	8	1	7	1	9
ENSSSCG00000003484	3	7	0	0	2	1	0	0	2	2	2	2
ENSSSCG00000003485	2738	2970	6372	6061	3328	2945	8499	6432	3453	3750	3733	3189
ENSSSCG00000003486	315	257	924	815	1176	1446	1724	1829	2746	2859	2831	2807
ENSSSCG00000003488	2332	2676	5466	4440	4211	5464	9127	8252	10629	8825	12112	8234
ENSSSCG00000003489	2205	2186	3706	4300	3125	3189	5192	4812	6707	5887	7159	6172
ENSSSCG00000003491	447	470	1423	1284	639	531	1377	1137	465	550	565	537
ENSSSCG00000003492	230	157	628	586	456	404	1057	841	473	630	523	517
ENSSSCG00000003493	3934	3931	6065	5882	4834	4603	9015	7066	4717	5164	5121	4868
ENSSSCG00000003494	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000003495	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000003498	18	26	85	81	25	16	50	47	5	10	1	7
ENSSSCG00000003499	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000003503	0	1	10	4	1	4	0	1	1	4	5	6
ENSSSCG00000003505	5033	5079	11189	11864	5517	5221	9812	8569	5657	6509	5984	5321
ENSSSCG00000003506	1257	1339	2660	2350	4542	4352	3416	3587	5472	6090	5819	5526
ENSSSCG00000003508	179	286	34	33	522	341	39	42	330	407	327	348
ENSSSCG00000003509	54	64	56	73	117	78	62	60	68	122	129	99
ENSSSCG00000003511	3782	4097	6871	7155	5197	5813	9668	8428	7104	6725	7355	6842
ENSSSCG00000003512	3790	3801	6222	6526	4859	5448	8985	8173	7953	7202	9109	7074
ENSSSCG00000003513	3000	3010	10289	8464	4851	5563	10902	12401	6830	7240	7814	7400
ENSSSCG00000003514	5620	6131	20217	15221	14289	22805	52903	55175	69083	54701	90630	55308
ENSSSCG00000003520	11702	12336	19105	18548	12526	12509	27383	21467	16112	16372	15918	16056
ENSSSCG00000003521	76	138	767	435	46	68	470	43	255	289	163	348
ENSSSCG00000003523	2	1	59	15	0	0	5	1	4	3	3	8
ENSSSCG00000003524	433	365	1401	1337	749	833	6226	5175	1178	1352	1112	1337
ENSSSCG00000003527	2147	2020	7455	6978	4108	4317	11758	12990	3611	4912	4763	4237
ENSSSCG00000003529	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000003530	0	2	1	2	0	1	2	0	0	0	0	0
ENSSSCG00000003531	3825	4016	4526	4309	4882	5272	5056	4158	3390	3968	4136	3443
ENSSSCG00000003532	1662	1787	4438	4458	2217	3223	7583	6926	3956	3760	4808	3546
ENSSSCG00000003539	108	237	638	400	31	31	320	135	45	72	41	32
ENSSSCG00000003541	19	17	100	92	30	25	68	64	35	43	52	46
ENSSSCG00000003543	526	626	1449	1448	1043	988	2069	1712	2465	2311	2436	2199
ENSSSCG00000003546	0	4	0	1	1	4	0	0	2	0	1	0
ENSSSCG00000003549	355	372	969	956	916	868	1197	1034	1307	1474	1488	1435
ENSSSCG00000003551	104	92	228	254	75	66	289	301	58	128	111	83
ENSSSCG00000003552	24	16	29	36	34	20	64	44	86	49	58	54
ENSSSCG00000003553	1647	1799	1939	1912	3385	3105	3289	2855	6528	6749	7420	6531
ENSSSCG00000003554	5375	5913	11638	11766	6981	6337	9804	8820	6650	9281	8861	7847
ENSSSCG00000003555	30025	38666	39113	38625	35835	32554	61086	48729	32316	36962	30144	36855
ENSSSCG00000003557	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000003558	349	556	1158	1094	575	493	1738	1577	583	647	693	596
