181-0991-1_LHL_S1_L001	181-0991-3_LHL_S2_L001	SKM_0923-1_RHL_S5_L001	SKM_0923-3_RHL_S6_L001	WT62_0987-3_RHL_S9_L001	WT62_0987-4_RHL_S10_L001	212-4281_E62SKM_RHL_Emb1_S1	212-4281_E62SKM_RHL_Emb4_S2	6132-1_Right_Gastroc_S15	6132-2_Left_Sol_S16	6132-3_Left_Sol_S17	6132-3_Right_Gastroc_S18
ENSSSCG00000000121	1	2	13	16	3	9	3	9	6	7	7	15
ENSSSCG00000000130	91	63	323	249	142	164	1038	918	312	366	333	322
ENSSSCG00000000131	22	12	195	144	2	0	169	14	3	1	4	1
ENSSSCG00000000132	0	0	0	0	1	1	0	0	0	1	1	0
ENSSSCG00000000133	136	147	429	386	274	239	537	570	538	551	411	537
ENSSSCG00000000135	213	249	810	837	157	194	703	786	322	340	386	376
ENSSSCG00000000136	76	33	215	246	140	150	884	812	331	293	309	314
ENSSSCG00000000137	126	89	419	401	175	245	1446	1216	403	412	406	437
ENSSSCG00000000138	0	0	2	4	6	5	3	6	0	3	2	0
ENSSSCG00000000139	437	495	889	770	599	508	843	830	440	590	509	561
ENSSSCG00000000141	3965	4948	6845	6302	7019	5792	8840	6849	6263	7204	6270	6443
ENSSSCG00000000142	975	1089	2273	2087	2175	1905	2626	2319	2036	2042	1984	2411
ENSSSCG00000000144	1384	1797	2960	2683	2546	2145	2968	2563	2561	2722	2538	2569
ENSSSCG00000000145	7202	7309	20195	15725	6716	8834	30353	25780	18474	16757	21444	15584
ENSSSCG00000000146	310	317	593	595	305	508	1626	1965	1893	1651	2963	1386
ENSSSCG00000000148	17	11	4	1	89	163	50	33	83	89	123	64
ENSSSCG00000000151	0	6	3	4	1	4	5	5	21	9	20	24
ENSSSCG00000000152	3996	4426	8305	9143	8464	9577	9708	7815	13256	13130	15275	11785
ENSSSCG00000000156	468	622	1065	1123	714	725	1553	1510	1201	1175	1344	1158
ENSSSCG00000000157	13	4	41	40	18	15	101	34	46	52	62	43
ENSSSCG00000000158	2356	2421	3007	3033	2466	2214	3787	2995	2339	2532	2552	2109
ENSSSCG00000000159	0	0	0	1	0	0	0	0	0	0	0	0
ENSSSCG00000000160	588	659	1264	1251	940	902	1858	1641	1508	1467	1568	1466
ENSSSCG00000000161	1961	1959	2219	2420	1897	1842	2795	2373	1794	2015	1817	1800
ENSSSCG00000000162	178	218	286	343	232	184	223	165	241	243	262	256
ENSSSCG00000000164	532	594	1333	1429	567	730	1883	1565	973	944	958	937
ENSSSCG00000000167	561	532	934	945	1071	1347	1853	1824	2036	1778	2048	1888
ENSSSCG00000000171	4368	3493	7520	9135	3246	3834	7284	6114	3008	3674	3536	3135
ENSSSCG00000000174	0	0	2	1	0	2	2	3	4	4	2	6
ENSSSCG00000000175	1089	1065	3305	3709	2165	2679	4673	5215	3511	3273	3754	3090
ENSSSCG00000000176	2323	2579	4070	3970	2773	2659	5082	4413	3325	3421	3557	3011
ENSSSCG00000000179	64	49	97	100	70	58	181	158	104	112	115	102
ENSSSCG00000000182	39	90	384	264	40	50	602	199	93	67	88	92
ENSSSCG00000000183	3	2	0	1	0	0	6	6	6	6	4	3
ENSSSCG00000000184	9	17	0	1	0	1	1	12	2	11	5	5
ENSSSCG00000000185	518	638	1188	1189	767	836	1903	1833	1906	1597	1912	1744
ENSSSCG00000000186	75	120	63	59	110	142	79	70	86	99	69	98
ENSSSCG00000000188	12	27	92	46	33	49	49	64	41	50	52	37
ENSSSCG00000000189	69	115	366	279	271	230	757	718	543	497	596	540
ENSSSCG00000000190	81293	103208	119518	110175	68608	52989	119401	92449	37437	46665	43076	38650
ENSSSCG00000000194	1381	1854	2773	2662	1570	1175	3417	2558	1020	1124	1258	1096
ENSSSCG00000000195	7	1	24	32	5	5	19	9	8	18	4	10
ENSSSCG00000000197	27	32	10	18	43	19	36	4	23	84	56	28
ENSSSCG00000000198	14	4	12	8	7	6	19	15	42	38	52	32
